,COUNTY,ROUTE_TYPE,ROUTE_NUMBER,ROUTE_SUFFIX,FINAL_ROUTE_TYPE
3399,16,MD,810,J,MD
3400,16,MD,953,(no suffix),MD
3401,2,MD,931,L,MD
3404,2,MD,931,Y,MD
3408,2,MD,798,(no suffix),MD
3409,2,MD,178,(no suffix),MD
3415,19,MD,358,(no suffix),MD
3439,12,MD,165,(no suffix),MD
3440,12,MD,155,(no suffix),MD
3445,12,MD,159,(no suffix),MD
3447,14,MD,445,(no suffix),MD
3448,7,MD,277,(no suffix),MD
3449,4,MD,2,E,MD
3458,16,MD,953,A,MD
3459,16,MD,967,A,MD
3460,16,MD,967,C,MD
3462,16,MD,972,A,MD
3464,18,MD,4,(no suffix),MD
3470,16,MD,458,B,MD
3474,12,MD,440,(no suffix),MD
3475,12,MD,462,(no suffix),MD
3480,5,MD,306,(no suffix),MD
3481,5,MD,307,(no suffix),MD
3482,5,MD,311,(no suffix),MD
3484,5,MD,16,(no suffix),MD
3488,5,MD,312,(no suffix),MD
3505,2,MD,173,A,MD
3517,17,MD,302,(no suffix),MD
3525,17,MD,835,B,MD
3526,4,MD,231,(no suffix),MD
3528,2,MD,422,(no suffix),MD
3536,17,MD,8,(no suffix),MD
3542,16,US,1,AL,US
3553,3,MD,157,(no suffix),MD
3555,12,US,1,BU,US
3565,15,MD,192,(no suffix),MD
3569,15,MD,198,(no suffix),MD
3575,10,MD,15,C,MD
3611,15,MD,929,B,MD
3612,23,MD,250,A,MD
3613,7,MD,267,(no suffix),MD
3616,7,MD,213,(no suffix),MD
3626,13,US,40,(no suffix),US
3636,15,MD,109,(no suffix),MD
3637,15,MD,112,(no suffix),MD
3639,2,MD,931,Q,MD
3647,16,MD,950,C,MD
3649,16,US,50,PA,US
3650,1,MD,807,C,MD
3651,1,MD,807,B,MD
3673,10,MD,31,(no suffix),MD
3682,4,MD,2,Z,MD
3683,4,MD,2,T,MD
3691,22,MD,670,(no suffix),MD
3693,23,MD,575,(no suffix),MD
3694,10,MD,850,D,MD
3695,23,MD,376,(no suffix),MD
3696,23,MD,368,(no suffix),MD
3697,23,MD,364,(no suffix),MD
3698,23,MD,366,(no suffix),MD
3700,16,MD,4,(no suffix),MD
